Age,Gender,MonthlyIncome,Department,NumCompaniesWorked,Over18,Workingfromhome,BusinessTravel,DistanceFromHome,StandardHours,JobSatisfaction,Complaintfiled,ComplaintResolved,ComplaintYears,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Left
37,Male,Low,Research & Development,0,Yes,Yes,None,5,40,3,No,,,14,3,7,6,1,No
29,Female,Low,Research & Development,6,Yes,Yes,Rarely,10,40,1,No,,,20,5,3,0,0,Yes
49,Male,High,Research & Development,3,Yes,Yes,Rarely,7,40,2,No,,,14,3,29,8,0,No
26,Female,Low,Research & Development,1,Yes,No,Frequently,1,40,3,No,,,13,2,5,5,1,No
54,Female,Medium,Research & Development,6,Yes,No,Rarely,10,40,1,No,,,19,4,9,5,1,No
51,Male,High,Research & Development,2,Yes,No,Frequently,8,40,4,No,,,15,3,18,4,0,Yes
45,Male,High,Research & Development,4,Yes,No,Rarely,6,40,1,No,,,14,2,17,0,0,No
40,Male,Medium,Sales,2,Yes,Yes,Rarely,22,40,3,Yes,Yes,2,12,1,8,6,1,Yes
35,Male,Medium,Research & Development,1,Yes,Yes,Rarely,10,40,4,No,,,20,5,3,3,1,No
27,Female,Low,Research & Development,0,Yes,No,Rarely,6,40,3,Yes,Yes,1,12,2,6,5,0,No
27,Female,Medium,Research & Development,7,Yes,No,Rarely,8,40,3,No,,,17,4,5,3,0,No
56,Female,Medium,Research & Development,4,Yes,No,Rarely,8,40,1,No,,,18,4,19,2,2,No
28,Male,Low,Research & Development,2,Yes,Yes,Rarely,1,40,1,No,,,11,1,5,3,1,No
50,Male,Low,Research & Development,4,Yes,No,Rarely,9,40,4,Yes,Yes,0,18,4,8,1,0,No
45,Female,Low,Research & Development,3,Yes,No,Rarely,1,40,4,Yes,Yes,2,14,2,8,5,0,No
31,Male,Medium,Sales,4,Yes,No,Rarely,6,40,3,No,,,18,4,12,7,7,Yes
35,Male,Medium,Research & Development,0,Yes,No,Rarely,5,40,2,Yes,No,0,13,2,17,16,0,No
23,Male,Medium,Research & Development,1,Yes,No,Rarely,8,40,3,Yes,No,3,11,1,5,5,1,Yes
41,Male,High,Sales,1,Yes,No,Rarely,2,40,2,No,,,19,4,22,22,0,No
27,Female,Medium,Sales,1,Yes,No,Rarely,23,40,3,No,,,21,5,9,9,5,No
39,Male,High,Research & Development,1,Yes,Yes,Frequently,1,40,3,Yes,No,2,14,3,21,21,1,No
48,Male,High,Research & Development,6,Yes,Yes,Rarely,1,40,4,Yes,No,,12,2,25,1,0,No
54,Male,High,Research & Development,4,Yes,Yes,Rarely,5,40,1,No,,,11,1,24,4,1,No
50,Male,Low,Sales,1,Yes,Yes,Rarely,3,40,3,No,,,14,3,3,3,0,Yes
45,Female,Medium,Sales,4,Yes,Yes,Rarely,4,40,1,No,,,11,1,9,5,0,No
34,Male,Medium,Research & Development,0,Yes,Yes,Frequently,3,40,4,No,,,17,4,7,6,0,No
40,Female,High,Sales,4,Yes,Yes,None,24,40,2,No,,,16,3,22,1,0,Yes
22,Male,Low,Research & Development,0,Yes,Yes,Rarely,6,40,3,No,,,20,5,3,2,2,No
50,Male,High,Research & Development,2,Yes,No,Rarely,2,40,3,No,,,11,1,29,8,7,No
37,Male,Medium,Research & Development,4,Yes,Yes,Rarely,6,40,1,No,,,13,2,13,7,6,No
24,Female,Low,Research & Development,1,Yes,No,Frequently,7,40,3,No,,,16,3,6,6,1,Yes
40,Male,Medium,Research & Development,3,Yes,No,None,8,40,4,No,,,18,4,8,2,2,No
27,Male,Low,Research & Development,9,Yes,No,Rarely,2,40,2,Yes,Yes,1,12,1,6,2,2,No
33,Female,Low,Research & Development,1,Yes,Yes,Rarely,14,40,2,No,,,13,2,8,8,1,No
30,Female,Low,Research & Development,5,Yes,Yes,Rarely,3,40,1,No,,,11,1,8,5,0,Yes
31,Female,High,Research & Development,1,Yes,Yes,Frequently,7,40,3,No,,,24,5,10,10,8,No
36,Female,Low,Research & Development,1,Yes,No,Frequently,18,40,4,No,,,13,2,8,8,1,No
32,Male,Low,Research & Development,1,Yes,No,Rarely,2,40,1,No,,,14,3,4,4,1,No
46,Male,High,Sales,3,Yes,Yes,Rarely,3,40,3,Yes,Yes,1,12,1,23,12,4,No
55,Male,Medium,Research & Development,3,Yes,Yes,Rarely,20,40,4,No,,,19,4,12,10,0,No
58,Male,High,Sales,4,Yes,No,None,2,40,2,No,,,22,5,37,16,14,No
34,Male,Medium,Research & Development,1,Yes,No,Frequently,22,40,4,No,,,15,3,16,15,6,No
43,Male,High,Research & Development,4,Yes,No,Rarely,6,40,4,No,,,14,3,21,1,0,No
31,Male,Low,Research & Development,0,Yes,No,None,9,40,1,No,,,22,5,4,3,1,Yes
46,Male,High,Sales,4,Yes,No,Rarely,9,40,4,No,,,11,1,28,7,4,Yes
28,Male,Low,Research & Development,5,Yes,No,Rarely,17,40,4,No,,,12,2,6,4,0,Yes
25,Male,Medium,Research & Development,1,Yes,Yes,None,5,40,1,Yes,Yes,2,12,2,6,6,1,No
35,Female,High,Research & Development,7,Yes,No,Rarely,22,40,2,No,,,18,4,10,7,6,No
35,Male,Medium,Research & Development,2,Yes,No,None,2,40,4,No,,,14,3,15,7,1,No
40,Female,High,Research & Development,9,Yes,Yes,Frequently,9,40,3,No,,,17,4,20,18,2,No
52,Male,High,Sales,9,Yes,No,Rarely,5,40,2,No,,,19,5,10,8,7,Yes
46,Male,Medium,Human Resources,8,Yes,No,Rarely,5,40,2,No,,,22,5,16,4,0,No
50,Male,High,Research & Development,2,Yes,No,Frequently,20,40,3,No,,,15,3,32,30,12,No
27,Male,Medium,Sales,1,Yes,No,Rarely,2,40,3,No,,,11,1,5,5,0,No
55,Male,High,Research & Development,0,Yes,No,Rarely,1,40,1,No,,,14,3,37,36,4,No
34,Male,Medium,Research & Development,9,Yes,Yes,Rarely,1,40,4,No,,,17,4,9,2,2,No
35,Female,High,Research & Development,1,Yes,Yes,Rarely,16,40,2,Yes,No,1,19,5,11,11,3,No
37,Female,Low,Research & Development,1,Yes,Yes,Rarely,1,40,4,No,,,12,2,17,17,5,No
33,Male,Low,Research & Development,1,Yes,Yes,None,1,40,3,No,,,12,1,1,1,0,No
40,Female,Medium,Research & Development,4,Yes,Yes,Rarely,1,40,4,No,,,17,4,12,5,0,No
42,Male,Low,Research & Development,3,Yes,No,None,10,40,3,No,,,22,5,10,6,3,No
30,Male,Low,Research & Development,9,Yes,Yes,Frequently,4,40,4,No,,,23,5,3,1,0,Yes
33,Female,Medium,Sales,8,Yes,Yes,None,2,40,2,No,,,15,3,13,11,1,No
41,Female,Medium,Sales,8,Yes,No,Rarely,1,40,4,No,,,11,1,8,6,0,Yes
42,Male,High,Research & Development,1,Yes,Yes,Rarely,4,40,4,No,,,11,1,22,22,11,No
29,Female,Low,Research & Development,5,Yes,Yes,Rarely,25,40,2,No,,,16,4,6,2,1,Yes
34,Female,Medium,Sales,0,Yes,No,Rarely,24,40,2,No,,,23,5,16,15,10,Yes
29,Female,Low,Research & Development,1,Yes,No,Rarely,6,40,4,No,,,13,2,10,10,0,No
22,Male,Low,Research & Development,1,Yes,Yes,Rarely,5,40,2,No,,,16,3,4,4,2,No
30,Female,Medium,Research & Development,1,Yes,Yes,Rarely,28,40,4,Yes,No,0,13,2,11,10,1,No
45,Male,Medium,Research & Development,4,Yes,No,Frequently,1,40,3,Yes,Yes,0,12,1,12,4,0,No
32,Female,High,Research & Development,3,Yes,No,Rarely,3,40,4,No,,,15,3,10,7,7,No
47,Female,High,Research & Development,3,Yes,No,Rarely,2,40,3,No,,,19,4,26,20,5,No
50,Male,Low,Research & Development,1,Yes,No,Rarely,28,40,3,No,,,11,1,20,20,3,No
31,Male,Medium,Research & Development,1,Yes,No,Rarely,20,40,3,No,,,11,1,10,10,0,No
30,Male,Medium,Sales,1,Yes,No,Rarely,10,40,3,No,,,18,4,10,10,1,No
31,Male,Medium,Research & Development,6,Yes,No,Frequently,2,40,4,No,,,13,2,7,2,2,Yes
30,Male,High,Sales,3,Yes,Yes,Rarely,29,40,2,No,,,12,1,9,4,1,No
20,Male,Low,Sales,1,Yes,Yes,Rarely,9,40,1,Yes,Yes,0,11,1,2,2,0,No
47,Male,Medium,Research & Development,1,Yes,No,Frequently,16,40,3,No,,,19,5,20,19,2,No
34,Male,Medium,Research & Development,2,Yes,No,Frequently,2,40,3,No,,,11,1,5,3,0,No
31,Male,Medium,Human Resources,3,Yes,No,Rarely,2,40,1,Yes,Yes,1,12,1,9,2,1,No
41,Female,Medium,Research & Development,3,Yes,No,Frequently,22,40,4,No,,,14,3,12,6,3,No
37,Male,Low,Research & Development,4,Yes,Yes,Rarely,19,40,2,No,,,21,5,8,1,0,No
29,Female,Medium,Sales,5,Yes,Yes,Frequently,13,40,2,No,,,11,1,7,5,0,Yes
31,Male,Medium,Sales,7,Yes,No,Frequently,2,40,1,No,,,13,2,10,5,0,No
31,Female,High,Research & Development,3,Yes,Yes,Rarely,8,40,2,No,,,11,1,9,3,1,No
18,Female,Low,Sales,1,Yes,No,Rarely,10,40,3,Yes,Yes,,12,2,0,0,0,No
37,Female,High,Research & Development,1,Yes,No,Rarely,10,40,4,Yes,Yes,1,25,5,16,16,6,No
29,Female,Medium,Sales,1,Yes,No,Rarely,10,40,2,No,,,14,3,7,7,1,No
51,Female,Low,Research & Development,0,Yes,No,Frequently,6,40,3,No,,,14,3,8,7,7,No
38,Male,High,Sales,0,Yes,Yes,Rarely,14,40,2,No,,,11,1,10,9,7,No
59,Female,Medium,Sales,5,Yes,No,Rarely,3,40,4,No,,,17,4,13,6,0,No
36,Female,Low,Research & Development,1,Yes,No,Rarely,16,40,1,No,,,16,4,18,17,15,Yes
46,Male,High,Research & Development,2,Yes,No,Frequently,1,40,1,No,,,13,2,21,10,9,No
35,Male,Low,Research & Development,1,Yes,No,Rarely,4,40,4,Yes,Yes,,12,1,1,1,0,No
36,Male,Medium,Research & Development,6,Yes,No,Rarely,6,40,2,Yes,Yes,1,20,5,7,3,0,No
25,Male,Low,Research & Development,7,Yes,Yes,Rarely,2,40,1,No,,,13,2,6,4,0,No
55,Female,High,Research & Development,4,Yes,No,Rarely,2,40,3,No,,,14,3,23,19,9,No
41,Female,Medium,Research & Development,2,Yes,No,None,2,40,3,No,,,17,4,10,8,0,No
35,Female,High,Sales,1,Yes,Yes,Frequently,1,40,3,No,,,14,3,10,10,0,No
33,Female,Medium,Research & Development,1,Yes,No,Frequently,1,40,2,No,,,13,2,6,6,1,No
20,Female,Low,Sales,1,Yes,Yes,Rarely,2,40,3,No,,,13,2,2,2,0,Yes
35,Male,Medium,Sales,0,Yes,No,Rarely,16,40,2,No,,,15,3,12,11,6,No
41,Male,High,Research & Development,4,Yes,No,Frequently,10,40,1,No,,,13,2,21,7,7,No
19,Female,Low,Research & Development,1,Yes,No,None,10,40,2,No,,,25,5,1,1,0,Yes
38,Female,Medium,Research & Development,3,Yes,Yes,Rarely,2,40,3,No,,,19,5,10,5,0,No
34,Male,Medium,Sales,1,Yes,No,Rarely,8,40,3,No,,,21,5,10,10,4,No
56,Female,High,Sales,9,Yes,No,Frequently,6,40,1,Yes,Yes,0,11,1,36,7,7,No
22,Male,Low,Research & Development,1,Yes,No,Rarely,7,40,2,Yes,Yes,,23,5,1,1,0,Yes
30,Male,Low,Research & Development,1,Yes,No,Rarely,7,40,2,No,,,12,1,6,6,1,No
53,Male,High,Sales,6,Yes,No,Rarely,24,40,1,No,,,13,2,15,2,2,Yes
60,Female,High,Research & Development,5,Yes,Yes,Rarely,7,40,1,No,,,11,1,33,29,11,No
44,Male,Low,Research & Development,4,Yes,Yes,Rarely,3,40,1,No,,,12,1,10,3,1,Yes
45,Male,High,Research & Development,4,Yes,Yes,Rarely,29,40,4,Yes,No,0,18,4,10,3,1,No
31,Female,Medium,Research & Development,0,Yes,Yes,Rarely,12,40,4,No,,,11,1,10,9,8,No
32,Female,Low,Research & Development,3,Yes,Yes,Frequently,5,40,3,No,,,14,3,8,4,0,Yes
46,Female,High,Sales,1,Yes,No,Rarely,1,40,1,Yes,Yes,2,25,5,24,24,15,No
31,Female,Medium,Research & Development,1,Yes,No,Rarely,24,40,1,No,,,19,5,10,10,1,No
47,Female,Medium,Sales,4,Yes,No,Frequently,27,40,3,Yes,Yes,1,12,1,8,5,1,Yes
27,Male,Low,Research & Development,0,Yes,Yes,Rarely,3,40,4,No,,,13,2,5,4,1,No
27,Female,Low,Research & Development,1,Yes,Yes,Rarely,17,40,3,No,,,13,2,8,8,7,Yes
34,Male,Medium,Research & Development,1,Yes,Yes,Rarely,5,40,4,No,,,14,2,15,15,4,No
49,Female,High,Research & Development,3,Yes,Yes,Rarely,22,40,2,No,,,16,4,27,4,1,No
40,Male,Low,Research & Development,3,Yes,Yes,Rarely,9,40,1,No,,,14,3,15,5,1,Yes
36,Male,High,Research & Development,2,Yes,Yes,Rarely,9,40,2,No,,,11,1,13,3,0,No
29,Male,Medium,Research & Development,0,Yes,Yes,Rarely,1,40,1,No,,,12,2,6,5,0,No
53,Male,High,Research & Development,4,Yes,Yes,Rarely,2,40,2,No,,,12,1,35,9,8,No
30,Male,Low,Sales,1,Yes,Yes,Frequently,12,40,1,Yes,No,,18,4,1,1,0,Yes
51,Male,High,Human Resources,1,Yes,No,Rarely,5,40,2,No,,,11,1,33,33,0,No
40,Female,Low,Research & Development,6,Yes,Yes,Rarely,2,40,3,No,,,22,5,20,1,0,No
38,Female,Low,Research & Development,7,Yes,Yes,Rarely,4,40,3,No,,,19,4,7,0,0,No
21,Male,Low,Sales,1,Yes,Yes,Rarely,5,40,1,No,,,11,1,2,2,1,No
54,Female,High,Human Resources,2,Yes,No,None,26,40,4,No,,,12,2,23,5,4,No
48,Male,Low,Research & Development,5,Yes,No,Rarely,2,40,2,No,,,11,1,7,1,0,No
38,Female,Low,Research & Development,3,Yes,No,Rarely,1,40,1,No,,,17,4,8,0,0,No
50,Male,High,Research & Development,5,Yes,Yes,Rarely,2,40,3,No,,,16,4,30,4,0,No
27,Female,Medium,Research & Development,0,Yes,No,Rarely,2,40,4,No,,,18,4,4,3,2,No
42,Male,Low,Human Resources,0,Yes,Yes,Rarely,2,40,3,No,,,11,1,4,3,1,No
29,Female,Low,Research & Development,0,Yes,No,Frequently,10,40,2,No,,,14,3,8,7,1,No
40,Female,Medium,Research & Development,1,Yes,Yes,Frequently,11,40,3,No,,,11,1,10,10,9,No
28,Male,Low,Research & Development,0,Yes,Yes,Rarely,2,40,2,No,,,17,4,6,5,0,No
38,Female,Medium,Sales,1,Yes,No,Rarely,7,40,1,Yes,Yes,2,24,5,8,8,7,No
30,Female,High,Research & Development,9,Yes,No,Rarely,10,40,3,No,,,14,3,9,7,0,No
41,Male,Medium,Human Resources,6,Yes,No,None,4,40,2,Yes,Yes,0,19,5,10,3,1,No
38,Male,High,Sales,0,Yes,No,Rarely,10,40,3,No,,,14,3,9,8,2,No
38,Male,Low,Human Resources,1,Yes,No,Rarely,1,40,3,Yes,No,2,13,2,7,7,5,No
37,Female,Medium,Research & Development,1,Yes,Yes,Rarely,10,40,2,Yes,Yes,1,11,1,8,8,7,No
44,Female,Low,Research & Development,1,Yes,Yes,Rarely,2,40,4,Yes,Yes,1,13,2,10,10,7,No
32,Female,Medium,Research & Development,7,Yes,No,Rarely,2,40,4,Yes,Yes,2,16,4,10,7,0,No
36,Male,High,Sales,4,Yes,No,Frequently,3,40,4,No,,,11,1,16,13,1,No
29,Male,Medium,Sales,1,Yes,Yes,Frequently,2,40,4,Yes,No,2,18,4,10,10,0,No
53,Female,High,Research & Development,3,Yes,Yes,Rarely,7,40,3,No,,,18,4,26,7,4,No
26,Female,Medium,Sales,7,Yes,Yes,Rarely,23,40,4,No,,,19,4,5,2,0,No
48,Male,High,Research & Development,2,Yes,Yes,Frequently,4,40,4,No,,,25,5,23,2,2,No
35,Male,Medium,Sales,1,Yes,Yes,Rarely,27,40,4,No,,,18,4,10,10,7,Yes
48,Male,Medium,Research & Development,1,Yes,No,Rarely,4,40,4,No,,,11,1,11,10,0,No
42,Male,Medium,Research & Development,4,Yes,No,Rarely,29,40,4,No,,,19,5,16,1,0,No
37,Female,High,Research & Development,2,Yes,Yes,None,1,40,4,No,,,18,4,15,5,0,No
40,Male,High,Human Resources,1,Yes,Yes,Rarely,6,40,4,No,,,21,5,21,21,7,No
39,Female,Medium,Sales,4,Yes,Yes,Rarely,3,40,3,No,,,18,4,12,1,0,Yes
59,Female,High,Human Resources,9,Yes,No,None,2,40,4,No,,,21,5,30,3,2,No
34,Male,Low,Research & Development,3,Yes,No,None,3,40,4,No,,,17,4,6,0,0,No
40,Male,Low,Research & Development,1,Yes,No,Rarely,24,40,4,No,,,17,4,9,9,4,No
18,Female,Low,Research & Development,1,Yes,No,None,14,40,3,No,,,16,3,0,0,0,No
47,Female,High,Human Resources,3,Yes,No,Rarely,26,40,3,No,,,11,1,27,5,1,No
44,Female,Low,Human Resources,4,Yes,No,Rarely,1,40,4,No,,,18,4,8,2,2,No
59,Male,Low,Research & Development,3,Yes,No,Rarely,3,40,4,No,,,17,4,7,1,0,No
27,Male,Medium,Sales,1,Yes,No,Rarely,9,40,4,Yes,Yes,2,14,2,7,7,0,No
30,Female,Medium,Research & Development,0,Yes,Yes,Rarely,6,40,4,No,,,12,2,10,9,6,No
46,Male,High,Research & Development,5,Yes,Yes,Rarely,15,40,2,No,,,11,1,25,4,0,No
32,Female,Medium,Research & Development,5,Yes,No,Rarely,8,40,3,No,,,12,2,9,5,1,No
27,Female,Medium,Research & Development,8,Yes,Yes,Rarely,7,40,1,Yes,Yes,2,19,5,9,7,0,No
25,Male,Medium,Research & Development,5,Yes,Yes,Rarely,3,40,1,No,,,13,2,6,2,0,Yes
32,Male,Medium,Sales,1,Yes,No,Rarely,8,40,4,No,,,15,3,10,10,0,No
42,Male,Medium,Sales,7,Yes,No,Rarely,4,40,1,No,,,13,2,9,6,1,No
37,Female,Low,Sales,5,Yes,No,Frequently,21,40,4,No,,,15,3,10,5,0,No
22,Female,Low,Research & Development,1,Yes,Yes,Rarely,11,40,2,No,,,13,2,2,2,1,No
37,Male,Low,Sales,4,Yes,Yes,Frequently,4,40,4,No,,,17,4,13,9,5,No
24,Male,Medium,Research & Development,1,Yes,No,Rarely,1,40,3,No,,,12,2,4,4,1,No
52,Female,High,Sales,1,Yes,No,Rarely,2,40,4,No,,,15,3,33,32,6,Yes
33,Male,Low,Research & Development,3,Yes,Yes,Rarely,1,40,1,No,,,11,1,6,3,0,No
38,Male,Low,Research & Development,3,Yes,Yes,Frequently,3,40,3,No,,,16,3,8,2,2,No
54,Female,Low,Research & Development,3,Yes,No,Rarely,9,40,3,No,,,11,1,9,4,2,No
39,Male,Medium,Research & Development,2,Yes,Yes,Rarely,10,40,1,No,,,13,2,10,7,7,No
29,Male,Medium,Research & Development,8,Yes,No,Rarely,29,40,3,Yes,No,2,17,4,11,7,1,No
42,Female,Medium,Research & Development,0,Yes,No,Frequently,28,40,4,Yes,Yes,0,11,1,7,6,0,No
43,Male,High,Sales,1,Yes,No,Frequently,26,40,4,No,,,12,2,25,25,4,No
30,Male,High,Research & Development,1,Yes,No,None,1,40,3,Yes,Yes,2,22,5,12,11,5,No
41,Male,Low,Research & Development,2,Yes,Yes,Rarely,5,40,3,No,,,12,2,7,4,0,No
29,Male,Low,Research & Development,1,Yes,No,Rarely,15,40,4,No,,,19,4,6,6,1,No
42,Male,Medium,Sales,1,Yes,Yes,Rarely,1,40,3,No,,,25,5,20,20,11,No
36,Male,Medium,Sales,1,Yes,Yes,None,15,40,4,Yes,Yes,1,24,5,15,15,11,No
48,Male,High,Research & Development,2,Yes,No,None,1,40,4,No,,,22,5,27,5,2,No
26,Male,Low,Research & Development,0,Yes,No,Rarely,1,40,1,No,,,13,2,8,7,7,No
54,Female,Medium,Research & Development,9,Yes,No,Rarely,19,40,1,No,,,11,1,9,5,1,No
38,Male,Low,Sales,4,Yes,No,Rarely,1,40,1,No,,,14,3,20,1,0,No
21,Female,Low,Sales,1,Yes,Yes,Frequently,1,40,2,No,,,11,1,3,3,1,Yes
52,Male,Medium,Research & Development,2,Yes,No,Rarely,3,40,3,No,,,14,3,28,5,0,No
24,Male,Low,Research & Development,2,Yes,Yes,Rarely,1,40,4,No,,,16,4,6,2,2,Yes
33,Female,Medium,Sales,0,Yes,No,Rarely,9,40,1,No,,,17,4,6,5,0,Yes
37,Male,Medium,Sales,1,Yes,No,Rarely,9,40,2,No,,,14,3,5,5,0,No
41,Female,Medium,Sales,5,Yes,Yes,Rarely,8,40,2,Yes,Yes,0,21,5,14,5,1,No
37,Female,Low,Research & Development,6,Yes,Yes,Rarely,10,40,1,No,,,20,5,17,5,0,No
34,Female,Medium,Sales,5,Yes,Yes,Rarely,8,40,1,No,,,17,4,6,3,1,No
33,Female,Medium,Sales,1,Yes,Yes,Frequently,25,40,3,No,,,12,2,10,10,0,No
29,Female,Medium,Research & Development,1,Yes,No,Rarely,1,40,4,Yes,Yes,1,15,3,3,3,1,No
32,Male,Low,Research & Development,1,Yes,No,Rarely,25,40,4,No,,,24,5,1,1,0,Yes
39,Male,Medium,Sales,0,Yes,No,Rarely,2,40,3,No,,,18,4,9,8,0,No
38,Male,Medium,Research & Development,9,Yes,Yes,Rarely,23,40,4,Yes,No,,14,2,10,2,1,No
43,Female,High,Research & Development,8,Yes,Yes,Rarely,7,40,1,No,,,16,4,10,1,0,No
49,Male,High,Research & Development,1,Yes,No,Rarely,18,40,3,Yes,Yes,1,17,4,31,31,0,No
40,Male,High,Sales,5,Yes,No,Frequently,5,40,1,No,,,21,5,20,18,1,No
29,Female,Low,Research & Development,3,Yes,No,Rarely,7,40,3,Yes,No,4,13,2,10,7,7,Yes
51,Female,Medium,Research & Development,3,Yes,No,Frequently,1,40,1,No,,,20,5,23,13,12,No
44,Male,Low,Research & Development,2,Yes,Yes,None,17,40,3,Yes,No,,13,2,6,0,0,No
25,Male,Low,Sales,1,Yes,No,Rarely,19,40,2,No,,,18,4,1,1,0,Yes
36,Male,Low,Sales,7,Yes,Yes,Rarely,9,40,1,No,,,23,5,10,5,0,Yes
33,Male,Medium,Sales,0,Yes,No,Frequently,7,40,1,No,,,14,3,5,4,0,No
25,Male,Medium,Sales,1,Yes,Yes,Rarely,3,40,1,No,,,18,4,5,5,0,No
34,Female,Medium,Sales,1,Yes,Yes,Rarely,9,40,3,No,,,20,5,6,6,1,No
34,Female,Medium,Research & Development,3,Yes,Yes,Rarely,8,40,3,No,,,11,1,10,5,4,No
28,Male,Low,Research & Development,7,Yes,No,Frequently,2,40,1,No,,,11,1,8,0,0,Yes
27,Male,Low,Research & Development,0,Yes,Yes,Rarely,11,40,1,No,,,14,3,6,5,1,No
49,Male,High,Research & Development,3,Yes,No,Frequently,2,40,4,Yes,No,0,15,3,28,5,4,No
26,Female,Low,Human Resources,0,Yes,Yes,Rarely,20,40,2,Yes,No,3,11,1,6,5,1,Yes
30,Female,High,Sales,2,Yes,No,Rarely,5,40,4,No,,,12,2,12,10,7,No
41,Female,Medium,Sales,0,Yes,Yes,Frequently,1,40,1,No,,,17,4,10,9,1,No
32,Female,Medium,Research & Development,1,Yes,No,Rarely,3,40,1,Yes,Yes,1,12,1,8,8,6,No
34,Male,Medium,Research & Development,1,Yes,Yes,Frequently,10,40,3,No,,,14,3,8,8,7,No
34,Male,Medium,Research & Development,4,Yes,No,Frequently,9,40,1,No,,,17,4,11,7,0,Yes
49,Female,Medium,Sales,1,Yes,No,Rarely,11,40,4,No,,,18,4,9,9,7,Yes
41,Male,Low,Research & Development,3,Yes,No,Rarely,1,40,4,No,,,22,5,12,5,1,No
31,Male,Low,Human Resources,0,Yes,No,Rarely,18,40,1,No,,,17,4,2,1,0,Yes
49,Male,High,Sales,6,Yes,No,Rarely,8,40,2,No,,,17,4,22,9,2,No
42,Male,Medium,Human Resources,7,Yes,Yes,None,2,40,1,No,,,16,3,10,4,0,No
48,Male,Medium,Research & Development,9,Yes,Yes,Rarely,1,40,3,No,,,13,2,23,1,0,Yes
29,Female,Low,Research & Development,1,Yes,Yes,Rarely,4,40,1,Yes,Yes,0,13,2,1,1,0,No
38,Male,High,Research & Development,0,Yes,No,Rarely,15,40,4,No,,,14,3,12,11,2,No
60,Male,Medium,Sales,8,Yes,No,Rarely,16,40,1,Yes,Yes,0,14,3,10,2,2,No
40,Male,Low,Research & Development,3,Yes,Yes,Rarely,1,40,2,Yes,No,3,22,5,7,4,0,No
34,Female,Low,Sales,1,Yes,No,Rarely,10,40,3,No,,,19,4,1,1,0,No
33,Female,Medium,Research & Development,0,Yes,Yes,Rarely,15,40,4,No,,,13,2,10,9,8,No
57,Male,Medium,Research & Development,0,Yes,Yes,Rarely,1,40,3,No,,,24,5,13,12,2,No
33,Female,Medium,Research & Development,1,Yes,No,Frequently,29,40,3,No,,,22,5,14,13,3,Yes
22,Female,Low,Research & Development,1,Yes,Yes,Rarely,15,40,4,No,,,15,3,1,0,0,No
31,Female,Low,Human Resources,9,Yes,No,Rarely,8,40,2,No,,,18,4,8,3,0,No
31,Female,Medium,Research & Development,1,Yes,Yes,Rarely,8,40,4,No,,,23,5,11,11,1,No
24,Male,Medium,Research & Development,1,Yes,Yes,Rarely,29,40,1,No,,,13,2,6,6,1,No
52,Male,Low,Sales,2,Yes,No,None,29,40,4,No,,,15,3,16,9,0,No
35,Male,Medium,Sales,0,Yes,No,Rarely,1,40,1,No,,,14,3,16,15,2,No
41,Male,High,Sales,2,Yes,Yes,Rarely,3,40,2,No,,,11,1,14,5,0,No
31,Female,Medium,Research & Development,8,Yes,No,Rarely,4,40,3,No,,,12,1,4,2,2,No
48,Female,High,Research & Development,3,Yes,No,Frequently,22,40,4,No,,,11,1,24,22,4,No
